#kind=historical_reanalysis
#name=Newcastle upon Tyne, May-August 2021
#source=Open-Meteo Historical Weather API; ECMWF ERA5
#source_url=https://archive-api.open-meteo.com/v1/archive?latitude=54.9783&longitude=-1.6178&start_date=2021-05-01&end_date=2021-09-01&hourly=temperature_2m%2Crain%2Cshortwave_radiation%2Cwind_speed_10m&timezone=GMT&wind_speed_unit=ms&models=era5
#raw_sha256=ca6210ba882279f2dcf60a2a8e54530e9d30a69dce49cb5a6abfcf50466d4fa0
#license=CC BY 4.0; credit Open-Meteo and Copernicus Climate Change Service
#time_basis=UTC; rain and solar shifted to interval-start; temperature and wind instantaneous
time_utc,temperature_c,rain_mm_hour,solar_wm2,wind_ms
2021-06-12T23:00,14.8,0.0,0.0,4.47
2021-06-13T00:00,14.2,0.0,0.0,4.36
2021-06-13T01:00,13.8,0.0,0.0,4.18
2021-06-13T02:00,13.6,0.0,0.0,4.08
2021-06-13T03:00,13.8,0.0,4.0,3.91
2021-06-13T04:00,14.0,0.0,56.0,3.7
2021-06-13T05:00,14.8,0.0,164.0,3.81
2021-06-13T06:00,16.1,0.0,263.0,3.68
2021-06-13T07:00,17.7,0.0,368.0,4.71
2021-06-13T08:00,19.1,0.0,492.0,5.26
2021-06-13T09:00,20.7,0.0,520.0,4.96
2021-06-13T10:00,21.6,0.0,590.0,5.0
2021-06-13T11:00,23.1,0.0,600.0,5.0
2021-06-13T12:00,23.5,0.0,507.0,5.47
2021-06-13T13:00,23.0,0.0,501.0,5.91
2021-06-13T14:00,23.1,0.0,431.0,6.36
2021-06-13T15:00,22.9,0.0,361.0,6.54
2021-06-13T16:00,22.5,0.0,327.0,6.58
2021-06-13T17:00,22.6,0.0,210.0,6.86
2021-06-13T18:00,22.3,0.0,119.0,6.6
2021-06-13T19:00,21.5,0.0,62.0,5.38
2021-06-13T20:00,20.9,0.0,7.0,4.67
2021-06-13T21:00,19.9,0.0,0.0,4.4
2021-06-13T22:00,18.6,0.0,0.0,3.83
2021-06-13T23:00,18.2,0.0,0.0,3.49
2021-06-14T00:00,17.7,0.0,0.0,3.58
2021-06-14T01:00,17.3,0.1,0.0,3.96
2021-06-14T02:00,17.0,0.0,0.0,4.53
2021-06-14T03:00,16.7,0.0,1.0,5.17
2021-06-14T04:00,16.9,0.0,18.0,5.83
2021-06-14T05:00,16.7,0.0,56.0,5.65
2021-06-14T06:00,16.2,0.0,157.0,5.6
2021-06-14T07:00,16.1,0.0,332.0,5.52
2021-06-14T08:00,15.8,0.0,421.0,6.24
2021-06-14T09:00,15.9,0.0,517.0,6.63
2021-06-14T10:00,16.5,0.0,584.0,6.1
2021-06-14T11:00,17.7,0.0,578.0,6.3
2021-06-14T12:00,17.9,0.0,398.0,6.42
2021-06-14T13:00,17.2,0.0,445.0,6.63
2021-06-14T14:00,17.2,0.0,352.0,6.91
2021-06-14T15:00,17.0,0.0,360.0,7.3
2021-06-14T16:00,17.0,0.0,275.0,7.24
2021-06-14T17:00,16.6,0.0,218.0,7.04
2021-06-14T18:00,16.0,0.0,67.0,6.36
2021-06-14T19:00,15.2,0.0,35.0,5.73
2021-06-14T20:00,14.5,0.0,7.0,5.0
2021-06-14T21:00,13.5,0.0,0.0,3.92
2021-06-14T22:00,12.7,0.0,0.0,2.8
2021-06-14T23:00,11.8,0.0,0.0,2.6
2021-06-15T00:00,11.4,0.0,0.0,3.18
2021-06-15T01:00,10.8,0.0,0.0,3.24
2021-06-15T02:00,10.2,0.0,0.0,3.22
2021-06-15T03:00,10.0,0.0,4.0,3.3
2021-06-15T04:00,9.7,0.0,64.0,3.51
2021-06-15T05:00,10.2,0.0,182.0,3.55
2021-06-15T06:00,11.6,0.0,295.0,3.28
2021-06-15T07:00,13.2,0.0,411.0,2.38
2021-06-15T08:00,14.4,0.0,547.0,1.7
2021-06-15T09:00,15.4,0.0,645.0,1.44
2021-06-15T10:00,16.4,0.0,684.0,2.11
2021-06-15T11:00,17.5,0.0,685.0,2.9
2021-06-15T12:00,18.5,0.0,652.0,3.41
2021-06-15T13:00,19.3,0.0,745.0,4.08
2021-06-15T14:00,20.4,0.0,676.0,4.33
2021-06-15T15:00,21.3,0.0,610.0,4.32
2021-06-15T16:00,21.4,0.0,443.0,4.68
2021-06-15T17:00,21.0,0.0,336.0,4.75
2021-06-15T18:00,20.5,0.0,190.0,4.81
2021-06-15T19:00,20.1,0.0,80.0,4.88
2021-06-15T20:00,19.5,0.0,10.0,4.54
