#kind=historical_reanalysis
#name=Newcastle upon Tyne, May-August 2023
#source=Open-Meteo Historical Weather API; ECMWF ERA5
#source_url=https://archive-api.open-meteo.com/v1/archive?latitude=54.9783&longitude=-1.6178&start_date=2023-05-01&end_date=2023-09-01&hourly=temperature_2m%2Crain%2Cshortwave_radiation%2Cwind_speed_10m&timezone=GMT&wind_speed_unit=ms&models=era5
#raw_sha256=0c8dea1e028ece9f7ed137e0041db6935947d84ef34c817d36ddcc6049b482a2
#license=CC BY 4.0; credit Open-Meteo and Copernicus Climate Change Service
#time_basis=UTC; rain and solar shifted to interval-start; temperature and wind instantaneous
time_utc,temperature_c,rain_mm_hour,solar_wm2,wind_ms
2023-05-25T00:00,11.3,0.0,0.0,1.33
2023-05-25T01:00,10.9,0.0,0.0,1.1
2023-05-25T02:00,10.3,0.0,0.0,0.92
2023-05-25T03:00,10.3,0.0,0.0,1.2
2023-05-25T04:00,9.7,0.0,36.0,1.63
2023-05-25T05:00,10.2,0.0,102.0,1.02
2023-05-25T06:00,12.2,0.0,284.0,0.73
2023-05-25T07:00,13.9,0.0,434.0,1.27
2023-05-25T08:00,15.1,0.0,562.0,1.98
2023-05-25T09:00,15.9,0.0,641.0,2.76
2023-05-25T10:00,16.6,0.0,664.0,3.55
2023-05-25T11:00,17.2,0.0,659.0,4.18
2023-05-25T12:00,17.5,0.0,605.0,4.6
2023-05-25T13:00,17.9,0.0,507.0,4.69
2023-05-25T14:00,17.9,0.0,401.0,4.56
2023-05-25T15:00,17.8,0.0,349.0,4.58
2023-05-25T16:00,17.7,0.0,209.0,4.47
2023-05-25T17:00,17.3,0.0,139.0,4.08
2023-05-25T18:00,17.1,0.0,48.0,3.94
2023-05-25T19:00,16.5,0.0,16.0,3.77
2023-05-25T20:00,15.9,0.0,1.0,3.26
2023-05-25T21:00,14.9,0.0,0.0,2.82
2023-05-25T22:00,13.1,0.0,0.0,2.2
2023-05-25T23:00,12.9,0.0,0.0,1.65
2023-05-26T00:00,11.9,0.0,0.0,1.3
2023-05-26T01:00,11.0,0.0,0.0,1.14
2023-05-26T02:00,10.3,0.0,0.0,1.58
2023-05-26T03:00,10.0,0.0,1.0,1.9
2023-05-26T04:00,9.8,0.0,44.0,2.06
2023-05-26T05:00,10.3,0.0,148.0,1.8
2023-05-26T06:00,12.0,0.0,280.0,1.66
2023-05-26T07:00,13.6,0.0,449.0,1.75
2023-05-26T08:00,15.0,0.0,576.0,1.7
2023-05-26T09:00,16.2,0.0,693.0,1.62
2023-05-26T10:00,17.2,0.0,688.0,2.2
2023-05-26T11:00,18.0,0.0,640.0,2.66
2023-05-26T12:00,18.3,0.0,615.0,2.55
2023-05-26T13:00,18.2,0.0,590.0,2.69
2023-05-26T14:00,18.1,0.0,478.0,2.88
2023-05-26T15:00,17.5,0.0,421.0,3.28
2023-05-26T16:00,17.3,0.0,304.0,3.53
2023-05-26T17:00,16.9,0.0,179.0,3.48
2023-05-26T18:00,16.2,0.0,125.0,3.14
2023-05-26T19:00,15.1,0.0,46.0,2.61
2023-05-26T20:00,13.5,0.0,2.0,2.04
2023-05-26T21:00,12.2,0.0,0.0,1.43
2023-05-26T22:00,11.6,0.0,0.0,1.22
2023-05-26T23:00,11.1,0.0,0.0,1.25
2023-05-27T00:00,11.3,0.0,0.0,1.48
2023-05-27T01:00,11.2,0.0,0.0,2.16
2023-05-27T02:00,10.9,0.0,0.0,2.64
2023-05-27T03:00,10.5,0.0,1.0,2.91
2023-05-27T04:00,10.7,0.0,42.0,3.18
2023-05-27T05:00,11.7,0.0,147.0,3.47
2023-05-27T06:00,13.8,0.0,246.0,3.41
2023-05-27T07:00,15.8,0.0,333.0,3.36
2023-05-27T08:00,16.9,0.0,529.0,3.94
2023-05-27T09:00,18.1,0.0,672.0,4.25
2023-05-27T10:00,19.4,0.0,738.0,4.11
2023-05-27T11:00,20.6,0.0,601.0,4.79
2023-05-27T12:00,20.6,0.0,495.0,5.09
2023-05-27T13:00,20.8,0.0,382.0,5.24
2023-05-27T14:00,20.8,0.0,413.0,5.5
2023-05-27T15:00,20.8,0.0,310.0,5.38
2023-05-27T16:00,20.1,0.0,267.0,4.97
2023-05-27T17:00,19.5,0.0,195.0,4.55
2023-05-27T18:00,19.0,0.0,114.0,3.89
2023-05-27T19:00,18.1,0.0,47.0,3.28
2023-05-27T20:00,16.8,0.0,2.0,2.58
2023-05-27T21:00,14.5,0.0,0.0,2.3
2023-05-27T22:00,13.3,0.0,0.0,2.0
2023-05-27T23:00,12.3,0.0,0.0,2.44
2023-05-28T00:00,11.2,0.0,0.0,2.98
2023-05-28T01:00,10.3,0.0,0.0,3.48
2023-05-28T02:00,10.1,0.0,0.0,3.76
2023-05-28T03:00,9.9,0.0,1.0,3.28
2023-05-28T04:00,9.7,0.0,46.0,2.9
2023-05-28T05:00,10.6,0.1,109.0,3.42
2023-05-28T06:00,11.6,0.0,187.0,4.47
2023-05-28T07:00,12.4,0.0,232.0,5.12
2023-05-28T08:00,13.0,0.0,346.0,5.02
2023-05-28T09:00,13.5,0.0,404.0,4.74
2023-05-28T10:00,13.6,0.0,371.0,4.75
2023-05-28T11:00,13.3,0.0,473.0,4.38
2023-05-28T12:00,13.8,0.0,468.0,4.03
2023-05-28T13:00,14.1,0.0,408.0,3.61
2023-05-28T14:00,14.3,0.0,417.0,3.23
2023-05-28T15:00,14.0,0.0,348.0,3.04
2023-05-28T16:00,13.8,0.0,284.0,3.58
2023-05-28T17:00,13.5,0.0,227.0,3.8
2023-05-28T18:00,12.7,0.0,97.0,3.36
2023-05-28T19:00,11.8,0.0,41.0,3.19
2023-05-28T20:00,10.7,0.0,2.0,2.59
2023-05-28T21:00,9.1,0.0,0.0,1.52
2023-05-28T22:00,8.8,0.0,0.0,1.22
2023-05-28T23:00,7.8,0.0,0.0,1.56
2023-05-29T00:00,7.2,0.0,0.0,1.78
2023-05-29T01:00,6.8,0.0,0.0,1.71
2023-05-29T02:00,6.5,0.0,0.0,1.65
2023-05-29T03:00,6.2,0.0,1.0,1.53
2023-05-29T04:00,5.6,0.0,47.0,1.35
2023-05-29T05:00,6.1,0.0,144.0,1.86
2023-05-29T06:00,7.9,0.0,282.0,1.75
2023-05-29T07:00,10.4,0.0,438.0,1.7
2023-05-29T08:00,12.0,0.0,577.0,1.7
2023-05-29T09:00,13.4,0.0,684.0,1.78
2023-05-29T10:00,14.3,0.0,776.0,1.63
2023-05-29T11:00,15.5,0.0,836.0,1.8
2023-05-29T12:00,16.3,0.0,836.0,1.82
2023-05-29T13:00,16.9,0.0,794.0,1.84
2023-05-29T14:00,17.1,0.0,718.0,1.88
2023-05-29T15:00,17.3,0.0,601.0,2.12
2023-05-29T16:00,17.2,0.0,464.0,2.69
2023-05-29T17:00,16.5,0.0,319.0,3.1
2023-05-29T18:00,15.4,0.0,184.0,3.35
2023-05-29T19:00,14.1,0.0,64.0,2.98
2023-05-29T20:00,12.7,0.0,3.0,1.84
2023-05-29T21:00,10.9,0.0,0.0,1.87
2023-05-29T22:00,10.3,0.0,0.0,1.33
2023-05-29T23:00,9.1,0.0,0.0,1.57
2023-05-30T00:00,8.2,0.0,0.0,2.02
2023-05-30T01:00,8.3,0.0,0.0,1.82
2023-05-30T02:00,8.1,0.0,0.0,1.96
2023-05-30T03:00,8.5,0.0,1.0,1.99
2023-05-30T04:00,8.6,0.0,32.0,2.04
2023-05-30T05:00,9.5,0.0,105.0,2.4
2023-05-30T06:00,10.5,0.0,169.0,2.93
2023-05-30T07:00,11.3,0.0,235.0,3.99
2023-05-30T08:00,11.9,0.0,286.0,3.9
2023-05-30T09:00,12.3,0.0,454.0,3.76
2023-05-30T10:00,13.2,0.0,424.0,3.22
2023-05-30T11:00,13.5,0.0,556.0,3.14
2023-05-30T12:00,14.2,0.0,624.0,3.19
2023-05-30T13:00,14.8,0.0,543.0,3.2
2023-05-30T14:00,14.9,0.0,526.0,3.32
2023-05-30T15:00,15.0,0.0,520.0,3.62
2023-05-30T16:00,14.9,0.0,401.0,3.68
2023-05-30T17:00,14.4,0.0,273.0,3.7
2023-05-30T18:00,13.5,0.0,169.0,3.58
2023-05-30T19:00,12.7,0.0,62.0,3.28
2023-05-30T20:00,11.6,0.0,3.0,2.47
2023-05-30T21:00,10.7,0.0,0.0,2.08
2023-05-30T22:00,10.8,0.0,0.0,2.06
2023-05-30T23:00,10.7,0.0,0.0,2.4
2023-05-31T00:00,10.7,0.0,0.0,2.44
2023-05-31T01:00,10.6,0.0,0.0,2.69
2023-05-31T02:00,10.5,0.0,0.0,3.11
2023-05-31T03:00,10.6,0.0,1.0,3.24
2023-05-31T04:00,10.6,0.0,23.0,3.24
2023-05-31T05:00,10.4,0.0,71.0,3.52
2023-05-31T06:00,10.4,0.0,147.0,3.77
2023-05-31T07:00,10.6,0.0,237.0,3.74
2023-05-31T08:00,10.5,0.0,306.0,3.72
2023-05-31T09:00,10.8,0.0,431.0,3.62
2023-05-31T10:00,11.8,0.0,454.0,3.18
2023-05-31T11:00,11.9,0.0,578.0,3.18
2023-05-31T12:00,12.5,0.0,622.0,3.18
2023-05-31T13:00,12.9,0.0,550.0,3.32
2023-05-31T14:00,13.0,0.0,543.0,3.47
2023-05-31T15:00,13.3,0.0,474.0,3.55
2023-05-31T16:00,13.2,0.0,385.0,3.41
2023-05-31T17:00,13.1,0.0,251.0,3.34
2023-05-31T18:00,12.4,0.0,135.0,3.22
2023-05-31T19:00,11.9,0.0,47.0,3.19
2023-05-31T20:00,11.2,0.0,3.0,3.14
2023-05-31T21:00,10.6,0.0,0.0,2.87
2023-05-31T22:00,10.2,0.0,0.0,2.79
2023-05-31T23:00,9.8,0.0,0.0,2.82
2023-06-01T00:00,9.1,0.0,0.0,2.28
2023-06-01T01:00,9.1,0.0,0.0,2.09
2023-06-01T02:00,9.1,0.0,0.0,2.12
2023-06-01T03:00,9.4,0.0,1.0,2.0
2023-06-01T04:00,10.0,0.0,30.0,2.12
2023-06-01T05:00,10.5,0.0,94.0,2.63
2023-06-01T06:00,11.5,0.0,145.0,3.61
2023-06-01T07:00,11.8,0.0,185.0,4.51
2023-06-01T08:00,11.8,0.0,253.0,5.02
2023-06-01T09:00,11.9,0.0,315.0,5.43
2023-06-01T10:00,11.9,0.0,329.0,5.39
2023-06-01T11:00,11.7,0.0,488.0,5.55
2023-06-01T12:00,12.2,0.0,404.0,5.53
2023-06-01T13:00,12.0,0.0,548.0,5.51
2023-06-01T14:00,12.5,0.0,455.0,5.63
2023-06-01T15:00,12.3,0.0,334.0,5.53
2023-06-01T16:00,11.9,0.0,223.0,5.48
2023-06-01T17:00,11.8,0.0,153.0,5.32
2023-06-01T18:00,11.5,0.0,109.0,5.22
2023-06-01T19:00,10.9,0.0,28.0,5.12
2023-06-01T20:00,10.4,0.0,2.0,4.93
2023-06-01T21:00,10.1,0.0,0.0,4.65
2023-06-01T22:00,9.6,0.0,0.0,4.3
2023-06-01T23:00,9.4,0.0,0.0,4.02
2023-06-02T00:00,9.3,0.0,0.0,4.25
2023-06-02T01:00,9.2,0.0,0.0,4.03
2023-06-02T02:00,9.4,0.0,0.0,3.73
2023-06-02T03:00,9.5,0.0,1.0,3.54
2023-06-02T04:00,9.4,0.0,40.0,3.44
2023-06-02T05:00,9.4,0.0,131.0,3.61
2023-06-02T06:00,10.2,0.0,270.0,4.06
2023-06-02T07:00,10.8,0.0,420.0,4.24
2023-06-02T08:00,11.6,0.0,586.0,4.37
2023-06-02T09:00,12.4,0.0,712.0,4.39
